Date,Product_Name,Quantity,Unit_Price,Store_Location,Payment_Type,Promotion_Applied,Weather,Temperature,Staff_Performance_Rating,Customer_Feedback,Delivery_Time_min,Order_Type,Customer_Name,Customer_Address,Customer_PhoneNumber,Customer_Email,Staff_Name,Staff_Email,Day_Of_Week,Total_Sales
2023-01-01 16:00:00,Pizza Beef Double decker,3,18.652019551732,South,Credit Card,False,Rainy,22.8691605655609,Excellent,Negative,27,In Store,Casey Sawyer,"4059 Martha Spring
Markton, NC 56321",5614632938,raymondrobert@example.net,Ryan Carter,cartertyler@example.org,Sunday,55.956058655196
2023-01-01 17:00:00,Vanilla Cake,4,17.1203394485982,North,Cash,False,Rainy,27.7567689628537,Excellent,Positive,15,Phone Order,Candice Lynn,"4472 Stein Drive
Hansenville, ID 74427",+1-554-749-5430x97120,pattersonjerry@example.net,Kenneth Gonzalez,jon97@example.net,Sunday,68.4813577943931
2023-01-01 18:00:00,Carrot Cake,2,8.2407704751753,South,Credit Card,True,Cloudy,33.6212553058978,Poor,Positive,30,In Store,Joshua Hernandez,"029 Teresa Shores Suite 231
Adamton, ID 46705",(502)880-2602,martinchristopher@example.com,John James,fernandezheather@example.net,Sunday,16.4815409503506
2023-01-01 19:00:00,Carrot Cake,1,11.9991167704582,West,Cash,True,Rainy,32.0656162120655,Poor,Positive,55,Online Order,Randall Duncan,"33737 Lloyd Corner
South Bobbyton, VT 96254",(306)878-3107x464,willie19@example.com,Brent Parker,Unknown,Sunday,11.9991167704582
2023-01-01 20:00:00,Red Velvet Cake,2,17.2508480383781,West,Online,False,Sunny,20.9874476504473,Poor,Positive,36,Phone Order,David Browning,"01334 Curry Roads Apt. 102
Denisefort, FM 93551",(989)808-0932x57119,wilsonwilliam@example.net,Jacob Medina,rebeccabrown@example.com,Sunday,34.5016960767563
2023-01-01 21:00:00,Pizza Beef Double decker,5,6.01076832178283,North,Cash,False,Rainy,30.3885920011637,Average,Unknown,46,In Store,Andrea Miles,"USS Roberts
FPO AE 36880",+1-726-418-7385,zreyes@example.com,Blake Ramirez,Unknown,Sunday,30.0538416089141
2023-01-01 22:00:00,Red Velvet Cake,1,10.8108887850298,West,Credit Card,True,Rainy,28.5784628368843,Good,Positive,30,Phone Order,Brian Richards,"4788 Karen Lodge Suite 745
South Alexandrafort, ND 91947",(277)713-5055,macosta@example.com,Barbara Campbell,wjohnson@example.com,Sunday,10.8108887850298
2023-01-01 23:00:00,Pizza Margherita,3,17.7776185531092,East,Credit Card,True,Cloudy,33.6119476451963,Poor,Neutral,29,Phone Order,Steven Reyes,"69646 Timothy Inlet Apt. 409
New Christina, NJ 81647",469-922-4394x0246,danielhines@example.net,Mary Mcgee,victoria48@example.com,Sunday,53.3328556593276
2023-01-02 00:00:00,Red Velvet Cake,4,11.0584679625518,East,Online,False,Rainy,21.8372212527544,Good,Neutral,56,Online Order,Jay Perez,"181 Rogers Plains
West Jessica, OR 09432",575.399.1973,stacie15@example.net,Kenneth Vega,jwang@example.com,Monday,44.2338718502074
2023-01-02 01:00:00,Pizza Margherita,2,6.16421967097161,East,Credit Card,False,Cloudy,28.0105416980698,Excellent,Neutral,26,Phone Order,Cory Gonzales,"61969 Vasquez Flats Suite 844
Mcneilchester, IN 21947",522.744.0186x917,dmurphy@example.com,Jonathan Bell,Unknown,Monday,12.3284393419432
2023-01-02 02:00:00,Pizza Margherita,1,13.1380155279837,East,Cash,False,Rainy,33.1919404026783,Good,Unknown,15,Online Order,Micheal Dunn,"659 Hines Field
East Ashleybury, LA 29290",869-675-3202x452,olivia16@example.net,Phyllis Herman,Unknown,Monday,13.1380155279837
2023-01-02 03:00:00,Carrot Cake,5,17.9261374237744,East,Cash,True,Sunny,26.1503568011261,Average,Unknown,31,Phone Order,Misty Barrera,"2997 Breanna Plaza
Lake Samanthaburgh, IL 87257",738-460-9721x20310,vmoore@example.org,Bryan Beck,michael85@example.net,Monday,89.6306871188721
2023-01-02 04:00:00,Vanilla Cake,1,13.8542831442973,West,Online,False,Sunny,27.229923765993,Average,Positive,55,Phone Order,Kelsey Cohen,"780 Martin Springs
East Cynthia, MT 32912",8032065419,matthewmartinez@example.com,Richard Stevenson,blackeugene@example.com,Monday,13.8542831442973
2023-01-02 05:00:00,Red Velvet Cake,5,8.39418662321347,North,Credit Card,True,Cloudy,21.0569101650043,Good,Negative,42,Phone Order,Katherine Mason,"54305 Hill Shoals
East Justinville, NJ 64488",(484)692-1660x57309,jcalderon@example.org,Timothy Dillon,omurray@example.com,Monday,41.9709331160673
2023-01-02 06:00:00,Pizza Beef Double decker,3,10.7635943020607,North,Online,True,Cloudy,24.1721546067336,Average,Positive,21,Phone Order,Christopher Jimenez,"2746 Thompson Burg Suite 466
Port Laurenview, MD 57695",6068589669,melaniechavez@example.com,Dr. John Guzman Jr.,allison40@example.com,Monday,32.2907829061821
2023-01-02 07:00:00,Pizza Margherita,4,11.7518504177289,East,Cash,True,Rainy,27.15434218268169,Average,Neutral,23,Phone Order,Amy Wilson,"589 Brianna Summit Suite 897
Leeland, MT 61948",419.298.2871,sgill@example.net,Tony Martinez,dwayne45@example.org,Monday,47.0074016709159
2023-01-02 08:00:00,Carrot Cake,3,13.6889953073079,West,Online,False,Rainy,34.1768367311733,Excellent,Positive,36,Phone Order,Megan Johnson,"68130 Shawn Lodge
Markland, HI 53529",971-245-4871x9717,josephtorres@example.com,Christine Vargas,tracy79@example.net,Monday,41.0669859219237
2023-01-02 09:00:00,Pizza Pepperoni,2,16.3902653862891,South,Credit Card,False,Sunny,24.2400104081173,Poor,Negative,40,Online Order,Benjamin Moore,"Unit 0770 Box 8337
DPO AA 36811",(838)530-8015,stephaniemaddox@example.org,Emily Williams,allenbradley@example.org,Monday,32.7805307725783
2023-01-02 10:00:00,Chocolate Cake,1,6.48310426460953,South,Online,False,Rainy,26.9130310290447,Average,Negative,26,Online Order,Kyle Hall,"2684 Kristina Brook
North Sydney, PR 86893",(679)680-2205x7218,mackdavid@example.net,Jackie Johnson,Unknown,Monday,6.48310426460953
2023-01-02 11:00:00,Vanilla Cake,5,18.3447804952634,West,Credit Card,True,Sunny,30.0695663534641,Poor,Positive,21,In Store,Samuel Mercado,"123 Gallagher Lights Suite 948
Kathyport, SD 78208",971-221-9934x29055,Unknown,Cassandra Mitchell,jeff80@example.org,Monday,91.7239024763174
2023-01-02 12:00:00,Fruit Cake,5,5.18464554524113,East,Credit Card,False,Cloudy,27.15434218268169,Good,Positive,29,Phone Order,Teresa Patel,"PSC 9512, Box 5441
APO AP 10986",+1-557-992-8706,jonathan93@example.com,Laura White,aaronschneider@example.net,Monday,25.9232277262056
2023-01-02 13:00:00,Pizza Pepperoni,1,10.5507850201138,North,Cash,True,Rainy,27.2966358071281,Good,Positive,52,Online Order,Ruth Irwin,"69917 Sullivan Brook Apt. 113
Reginabury, FM 59301",691.832.9638x493,wheelermichele@example.net,Courtney Gates,tarahamilton@example.net,Monday,10.5507850201138
2023-01-02 14:00:00,Chocolate Cake,1,5.41130464958986,West,Cash,True,Cloudy,31.0780855921386,Average,Negative,35,Phone Order,Justin Russo,"7201 Pope Fort
North Laurenside, RI 90302",(806)238-2527x74311,rwheeler@example.org,Diana Sanders,sweeneycorey@example.net,Monday,5.41130464958986
2023-01-02 15:00:00,Pizza Pepperoni,2,10.8946133801793,South,Cash,True,Rainy,33.0028281954059,Good,Neutral,28,Phone Order,Maria Tyler,"994 Kimberly Hill Suite 578
Christophertown, NY 63863",(505)296-4020x4743,Unknown,Michelle Ramirez,tyronecooke@example.org,Monday,21.7892267603587
2023-01-02 16:00:00,Red Velvet Cake,3,12.8871889830998,South,Credit Card,True,Sunny,29.3938891199364,Excellent,Unknown,16,Online Order,Kathy Potts,"3041 Matthew Summit
Makaylamouth, WY 80761",(489)884-6629,andersonsteven@example.com,Rebecca Barnes,mberg@example.org,Monday,38.6615669492995
2023-01-02 17:00:00,Pizza Margherita,5,12.6752207987226,South,Online,True,Cloudy,30.0358027297542,Average,Neutral,22,Phone Order,Jeffrey Wallace,"37834 Amanda Harbors Suite 544
Jonesport, KY 78476",852.761.7585x619,patrickfranklin@example.net,Emma Keller,jenniferwoodward@example.com,Monday,63.3761039936133
2023-01-02 18:00:00,Vanilla Cake,2,7.48442520542398,East,Credit Card,True,Cloudy,27.15434218268169,Average,Negative,59,Online Order,Tracy Taylor,"109 Wise Hills Apt. 063
North Alexisside, IA 60545",569-655-4045x76834,knightjoshua@example.com,Angela Roman,kimberlyharrington@example.com,Monday,14.9688504108479
2023-01-02 19:00:00,Cheesecake,3,14.6861076514341,South,Cash,False,Rainy,34.1866474586952,Average,Positive,20,Online Order,Willie Bell,"48031 Fuller Via
North Sean, ID 13025",+1-257-625-2972x773,williamrosario@example.org,Bryce Bernard,washingtonashley@example.com,Monday,44.0583229543025
2023-01-02 20:00:00,Pizza Margherita,2,5.67167675757002,West,Cash,True,Cloudy,21.9886111622672,Good,Positive,51,In Store,Timothy Gallagher,"67964 Brian Knoll Apt. 214
Rileyshire, MN 32485",001-827-458-8592,Unknown,Jerry Collins DDS,michellepeterson@example.com,Monday,11.34335351514
2023-01-02 21:00:00,Cheesecake,5,16.4286023019862,West,Online,False,Sunny,27.15434218268169,Good,Negative,51,In Store,Dr. Kaitlyn Nguyen MD,"PSC 1269, Box 8741
APO AP 74383",(730)747-3474x2953,Unknown,Cynthia Carrillo,johnsonjohn@example.net,Monday,82.1430115099311
2023-01-02 22:00:00,Chocolate Cake,1,19.1996665099031,South,Cash,True,Cloudy,23.9722448266747,Average,Positive,47,In Store,Judith Brown,"4446 Mitchell Glens Suite 784
Port Michael, MI 24305",001-796-326-0144,mcbridegregory@example.org,Scott Moss,scalhoun@example.com,Monday,19.1996665099031
2023-01-02 23:00:00,Carrot Cake,1,10.0965324072667,West,Cash,False,Cloudy,34.0038971555187,Poor,Neutral,55,In Store,Holly Mooney,"24852 Maurice Views Apt. 255
North Connieland, SC 09318",892-609-7587x750,james44@example.com,Tammy Flores,todd17@example.org,Monday,10.0965324072667
2023-01-03 00:00:00,Fruit Cake,3,12.7585907257149,South,Cash,False,Rainy,30.7993930905421,Good,Negative,20,Phone Order,Christopher Miller,"49385 Erin Flats Suite 584
Barnesland, AK 15019",690-518-9867x63749,danielmartin@example.com,Christine Nunez,ocantu@example.com,Tuesday,38.2757721771449
2023-01-03 01:00:00,Pizza Beef Double decker,4,10.6836541708822,South,Online,False,Cloudy,31.3072056946755,Good,Negative,40,Phone Order,Michael Le,"59494 Brewer Cliff
Charlesville, MO 31287",001-934-813-2120x05852,vrivas@example.net,John Martin,michael70@example.org,Tuesday,42.7346166835288
2023-01-03 02:00:00,Pizza Margherita,3,5.10065585456089,North,Credit Card,False,Rainy,23.2858875958982,Average,Positive,53,In Store,Rachel Smith,"USNS Ray
FPO AE 70448",620.240.2397x019,brandon35@example.net,Phillip Hernandez,Unknown,Tuesday,15.3019675636826
2023-01-03 03:00:00,Vanilla Cake,4,10.7881175434267,East,Cash,True,Rainy,26.6455996495274,Poor,Negative,55,Online Order,Ashley Perry,"467 Sean Stravenue
Angelton, AS 09379",(795)222-3331,jonathonrogers@example.com,Leslie Stone,terrysean@example.net,Tuesday,43.1524701737069
2023-01-03 04:00:00,Pizza Pepperoni,2,16.8758038889201,East,Online,True,Cloudy,29.2671979188392,Average,Positive,51,Online Order,Kelly Cortez,"1882 Ryan Springs
East Kaylaport, DE 59530",+1-620-664-4725x2727,kristin81@example.org,Jason Eaton,qgriffin@example.org,Tuesday,33.7516077778403
2023-01-03 05:00:00,Vanilla Cake,2,13.9398326327522,North,Cash,True,Sunny,27.15434218268169,Good,Positive,28,Online Order,Lindsey Nunez,"4424 Rosario Plain Suite 110
Williamsside, DE 85954",(369)207-7494x5580,melissafitzpatrick@example.net,Sheila Williams,Unknown,Tuesday,27.8796652655044
2023-01-03 06:00:00,Chocolate Cake,5,6.51889871922738,North,Online,True,Rainy,21.5593906386858,Average,Negative,51,Online Order,Michael Baker,"1785 Laura Brooks
Kellerchester, AS 77756",(812)912-8173,jwilliams@example.net,Jonathan Johnson,andrew87@example.net,Tuesday,32.5944935961369
2023-01-03 07:00:00,Cheesecake,4,17.7070923454067,East,Cash,False,Cloudy,34.4354797468179,Average,Positive,22,Phone Order,Colleen Acevedo,"21128 Nelson Hollow
Port Taylorberg, OH 59125",001-844-457-5691x4284,longamy@example.net,Alexandra Wilson,heatherchang@example.net,Tuesday,70.8283693816271
2023-01-03 08:00:00,Pizza Pepperoni,5,12.9662801732786,South,Online,False,Rainy,33.3533100583183,Average,Unknown,53,Online Order,Andrea Martin DDS,"185 Robertson Pike
New Travis, MI 93092",9563352820,jessicawilson@example.net,John Fowler,hallstephanie@example.org,Tuesday,64.8314008663932
2023-01-03 09:00:00,Pizza Beef Double decker,1,17.6258504261701,South,Cash,False,Sunny,27.15434218268169,Poor,Neutral,27,Online Order,Brian Perez,"07888 Jennifer Forks
Port Steventown, TX 96919",934-778-8708x87126,jharris@example.org,Scott Jimenez,luceroscott@example.org,Tuesday,17.6258504261701
2023-01-03 10:00:00,Pizza Beef Double decker,4,13.7033227817754,East,Credit Card,True,Sunny,32.3414036454849,Average,Positive,27,In Store,Steven Booth,"PSC 2047, Box 5184
APO AA 44580",209.698.4896x821,ltorres@example.net,Bethany Hudson,jonathan04@example.com,Tuesday,54.8132911271017
2023-01-03 11:00:00,Pizza Margherita,3,13.395326672569,South,Cash,False,Rainy,27.15434218268169,Good,Unknown,54,Online Order,Jacob Reese,"98995 Ricardo Fall
Port Joanna, GU 81575",653.693.0349,debra51@example.com,Holly Lara,wrightkelly@example.net,Tuesday,40.1859800177072
2023-01-03 12:00:00,Chocolate Cake,1,6.57888777795518,North,Online,True,Sunny,26.9270972234302,Average,Positive,57,Phone Order,Charles Brooks,"045 Dominguez Plains
New Dannyshire, NM 07653",7094235871,normandavid@example.com,Tanya Kane,blevinstravis@example.net,Tuesday,6.57888777795518
2023-01-03 13:00:00,Carrot Cake,1,7.51039599707941,South,Cash,False,Cloudy,24.716511587171,Poor,Neutral,42,Online Order,Amy Jones,"5589 Garcia Shore Suite 378
Lake Aprilborough, NH 14688",855.319.7228,esmith@example.net,Alexander Anderson,jamesedwards@example.com,Tuesday,7.51039599707941
2023-01-03 14:00:00,Chocolate Cake,3,19.5803788474488,South,Credit Card,False,Cloudy,28.7145287994738,Excellent,Negative,32,Online Order,Patrick Perez,"06163 Perkins Knoll Apt. 675
Kimberlyside, LA 89645",974-921-3029,bolson@example.net,Jennifer Harrison,nlee@example.com,Tuesday,58.7411365423465
2023-01-03 15:00:00,Cheesecake,1,8.42730120132156,West,Cash,False,Rainy,27.15434218268169,Poor,Positive,33,Phone Order,Nicholas Contreras,"PSC 1540, Box 6723
APO AE 70127",8287860258,john56@example.net,Keith Briggs,william16@example.net,Tuesday,8.42730120132156
2023-01-03 16:00:00,Vanilla Cake,4,19.6617817698555,West,Online,False,Sunny,26.1639935744413,Average,Positive,52,In Store,Matthew Waller,"54562 Heather Shoal Suite 206
Longtown, CO 12775",558-487-5534x893,amyfigueroa@example.org,Brandon Dunn,sriddle@example.net,Tuesday,78.647127079422
2023-01-03 17:00:00,Pizza Beef Double decker,5,12.9786905978639,West,Online,False,Cloudy,29.4382878951243,Excellent,Positive,46,Phone Order,Barbara Rubio,"USNV Parsons
FPO AP 51888",(402)353-5570,jensenkathleen@example.net,Catherine Johnson,tmason@example.org,Tuesday,64.8934529893197
2023-01-03 18:00:00,Vanilla Cake,1,7.03683570595905,South,Credit Card,True,Cloudy,30.4896938173295,Average,Positive,36,In Store,Kenneth Mccoy,"0708 Joseph Hollow Apt. 766
Johnsview, VI 73821",(351)808-8894,aprilmueller@example.org,Kimberly Russell,jennifer08@example.net,Tuesday,7.03683570595905
2023-01-03 19:00:00,Vanilla Cake,4,6.48953304130539,East,Online,False,Cloudy,30.6668272552292,Poor,Unknown,16,Online Order,Stephanie Jenkins,"4660 Mathis Ranch
West Michaelborough, VT 81196",+1-658-405-9397,troy51@example.org,Travis Hogan,Unknown,Tuesday,25.9581321652215
2023-01-03 20:00:00,Vanilla Cake,2,8.1329610605861,North,Cash,True,Rainy,20.7794914719677,Excellent,Positive,27,In Store,Thomas Lane,"3553 Julie Summit
East Candicemouth, MS 46067",547-698-4124,rogersjorge@example.com,Wesley Christian,judithvega@example.org,Tuesday,16.2659221211722
2023-01-03 21:00:00,Pizza Beef Double decker,4,18.88455995038,South,Cash,True,Rainy,27.15434218268169,Excellent,Negative,37,In Store,Alexandra King,"592 Mcmillan Wells Suite 719
North Rebecca, OR 73861",316.467.3052x4891,jessicajones@example.net,Sarah Greer,lindajohnson@example.org,Tuesday,75.5382398015201
2023-01-03 22:00:00,Red Velvet Cake,5,11.2122533649234,East,Cash,True,Cloudy,26.8737997214757,Average,Negative,39,In Store,Lauren Gonzalez,"2704 Bob Orchard Apt. 418
Billytown, NM 40830",(943)642-6788,james34@example.net,Jason Baker,lindseygarner@example.org,Tuesday,56.061266824617
2023-01-03 23:00:00,Cheesecake,4,10.9315140198937,South,Online,True,Cloudy,23.9362412254432,Average,Neutral,42,Online Order,Lauren Bond,"582 Sampson Gateway Apt. 754
Patrickbury, FL 95473",(905)713-5586,zhall@example.net,Andrea Green,michaela48@example.org,Tuesday,43.7260560795748
2023-01-04 00:00:00,Cheesecake,3,9.69809391605261,North,Cash,True,Sunny,23.6264676121952,Poor,Positive,25,In Store,Elizabeth Scott,"8863 Tony Lake Suite 057
Lake David, FM 76570",611-582-0116x9700,dustingolden@example.net,Todd Williams,amanda40@example.net,Wednesday,29.0942817481578
2023-01-04 01:00:00,Pizza Pepperoni,5,7.20592775849882,South,Cash,True,Sunny,27.2452116926592,Average,Neutral,47,In Store,Judith Hall,"27670 Rice Gardens Suite 182
Jocelynfort, WA 03760",001-747-593-5449,clinton68@example.net,Sara Ferguson,marcus87@example.com,Wednesday,36.0296387924941
2023-01-04 02:00:00,Chocolate Cake,2,12.317767957886,North,Cash,True,Sunny,33.3024730920343,Excellent,Neutral,38,Online Order,Kathryn Jones,"464 Pamela Row Suite 212
West Yolanda, AZ 45755",414.937.9555x9744,andrew17@example.net,Breanna Bowen,bcarter@example.net,Wednesday,24.6355359157721
2023-01-04 03:00:00,Chocolate Cake,3,6.95071673766708,South,Credit Card,True,Rainy,25.6752137252397,Good,Unknown,16,Phone Order,Michael Johnson,"01968 Rogers Mills Apt. 230
Phamside, CO 85999",375.202.1858,michael71@example.net,Denise Nichols,Unknown,Wednesday,20.8521502130012
2023-01-04 04:00:00,Fruit Cake,4,17.5322035457349,North,Online,False,Cloudy,31.2458862017531,Good,Neutral,44,Phone Order,Amanda Freeman,"94352 Hannah Row
Ralphtown, KS 42976",747.307.2925,josephstevenson@example.com,Kyle Gutierrez,coxconnie@example.net,Wednesday,70.1288141829396
2023-01-04 05:00:00,Chocolate Cake,5,10.5559547941295,South,Online,False,Rainy,21.4522809648082,Poor,Negative,31,Phone Order,Thomas Harris,"Unit 9421 Box 2570
DPO AP 28305",001-936-202-5871x21641,Unknown,Amanda Jones,cynthiacarson@example.com,Wednesday,52.7797739706479
2023-01-04 06:00:00,Pizza Beef Double decker,2,10.6220535167269,North,Online,True,Cloudy,27.1408505322659,Average,Neutral,54,Online Order,Jordan Brown,"35015 Barnes Ville Suite 109
Lake Michelle, IN 02641",595.632.5703x77271,patrickpadilla@example.net,Laura Smith,jenniferpeterson@example.org,Wednesday,21.2441070334538
2023-01-04 07:00:00,Carrot Cake,3,12.1100964272473,West,Credit Card,True,Sunny,34.875292105891,Poor,Positive,48,Online Order,Andrew Moore,"7070 Hendrix Circle
Marymouth, PA 22887",5186677437,Unknown,Jessica Booth,michellecannon@example.net,Wednesday,36.330289281742
2023-01-04 08:00:00,Pizza Margherita,2,11.6619156974862,South,Online,True,Sunny,31.556567041885,Good,Neutral,52,Phone Order,James Coleman,"556 Reyes Circle Suite 673
South Felicia, AS 51653",877.657.1496x5529,robertfischer@example.org,Justin Lambert,vlucas@example.net,Wednesday,23.3238313949725
2023-01-04 09:00:00,Fruit Cake,4,19.9228695958898,South,Credit Card,False,Sunny,23.1579273266091,Good,Negative,36,In Store,Jason Benson,"57914 Dillon Fields
Lindseyshire, SC 15624",951-644-9723x4934,jeremymiller@example.org,Kendra Olson,melissa72@example.com,Wednesday,79.6914783835592
2023-01-04 10:00:00,Pizza Margherita,2,13.1807168182745,East,Credit Card,False,Sunny,27.5216221054686,Average,Negative,19,Phone Order,Shelia Mueller,"PSC 4153, Box 2921
APO AP 27510",+1-839-985-4056x57671,claire33@example.net,Laurie Young,frankbarton@example.org,Wednesday,26.361433636549
2023-01-04 11:00:00,Cheesecake,1,6.32302555684806,East,Online,True,Cloudy,23.5043714547285,Excellent,Negative,54,Online Order,Melissa Pope,"04025 Allison Springs
Lake Karen, AK 72462",970-577-5475x971,nlong@example.org,Amy Roberts,Unknown,Wednesday,6.32302555684806
2023-01-04 12:00:00,Pizza Margherita,3,14.1031601236539,North,Cash,True,Sunny,26.1434139089376,Average,Neutral,30,In Store,Anthony Meyer,"51060 Walter Ranch Suite 459
Lake Amandaton, LA 50037",001-276-801-8226x91948,xyoung@example.net,Sheri Mathews,heather17@example.com,Wednesday,42.3094803709618
2023-01-04 13:00:00,Pizza Margherita,2,7.27376439304819,South,Cash,False,Cloudy,31.7012603560244,Good,Neutral,27,In Store,Walter Moore,"5092 Johnson Villages Suite 284
Tiffanybury, AL 56458",661.630.2662,brownscott@example.com,Melissa Keller,matthew41@example.org,Wednesday,14.5475287860963
2023-01-04 14:00:00,Fruit Cake,4,5.46406467097013,North,Online,False,Cloudy,31.568372229356,Excellent,Negative,40,Online Order,Robert Gonzales,"354 Alexis Ferry
Port Michelleborough, NJ 88021",663-828-4624,hurleyabigail@example.org,Megan Snyder,ujones@example.net,Wednesday,21.8562586838805
2023-01-04 15:00:00,Pizza Pepperoni,4,19.5611323051587,West,Online,True,Rainy,23.4215056685357,Poor,Unknown,45,In Store,Nicholas Campbell,"521 Glen Centers Apt. 944
Port Stevenfort, IL 94181",001-348-936-9487x6648,karen77@example.org,Brittany Tapia,jasmine20@example.net,Wednesday,78.2445292206348
2023-01-04 16:00:00,Vanilla Cake,2,16.6030833730184,East,Credit Card,True,Sunny,27.15434218268169,Good,Positive,53,Phone Order,Jamie Edwards,"4498 Lee Gateway Suite 262
Barnesfort, AZ 28615",295-626-6694,tamaramullins@example.org,Dr. Stacy Johnson,ethanjohnson@example.net,Wednesday,33.2061667460369
